dataset_name,k,distance_metric,method,overall_precision,overall_recall,overall_f1,retriever_claim_recall,retriever_context_precision,generator_context_utilization,generator_noise_sensitivity_in_relevant,generator_noise_sensitivity_in_irrelevant,generator_hallucination,generator_self_knowledge,generator_faithfulness
Kaggle80,1,cosine,Naive,25.5,20.1,14.7,15.6,28.7,16.6,6.3,2.6,37.5,17.4,18.8
Kaggle80,1,cosine,HyDE,18.4,14.8,9.6,8.5,22.5,14.0,5.1,7.3,36.6,9.4,24.0
Kaggle80,1,cosine,HyPE,43.4,41.6,34.8,32.9,68.8,50.0,10.1,5.0,33.3,10.0,49.3
Rag10k,1,cosine,Naive,40.4,37.4,31.9,34.7,55.8,38.5,8.8,5.4,29.9,11.7,43.4
Rag10k,1,cosine,HyDE,39.6,36.3,30.9,33.3,55.1,37.7,8.9,5.6,30.2,11.9,42.6
Rag10k,1,cosine,HyPE,57.9,62.3,53.6,63.6,82.6,68.2,12.5,2.8,19.8,7.9,65.8
MS_MARCO,1,cosine,Naive,42.8,55.3,38.9,56.2,73.6,58.7,19.6,9.2,23.3,4.7,69.1
MS_MARCO,1,cosine,HyDE,41.3,53.0,37.0,52.4,69.8,55.4,18.8,9.8,24.6,4.9,67.1
MS_MARCO,1,cosine,HyPE,41.3,52.1,36.5,50.2,68.7,53.9,17.6,10.0,25.8,5.8,65.1
RAGBench,1,cosine,Naive,43.2,34.4,28.7,38.7,65.0,39.3,10.5,6.4,29.0,12.1,49.1
RAGBench,1,cosine,HyDE,37.3,30.8,24.1,33.9,58.7,34.9,11.2,7.2,30.9,10.9,46.0
RAGBench,1,cosine,HyPE,45.2,37.7,31.3,39.5,65.7,41.2,10.8,7.3,27.3,12.7,51.9
Kaggle80,3,cosine,Naive,21.7,16.9,12.9,22.9,27.5,15.2,8.8,14.3,31.7,7.5,38.3
Kaggle80,3,cosine,HyDE,20.3,11.1,8.2,18.2,20.8,8.7,3.3,12.1,37.7,6.4,29.7
Kaggle80,3,cosine,HyPE,43.0,48.0,38.0,63.0,64.6,53.6,21.6,5.6,23.1,5.0,66.9
MS_MARCO,3,cosine,Naive,41.3,58.5,39.4,74.5,70.2,62.4,27.7,8.8,16.8,1.9,78.6
MS_MARCO,3,cosine,HyDE,40.3,56.2,37.9,70.0,67.2,59.6,26.6,9.8,17.6,2.1,77.2
MS_MARCO,3,cosine,HyPE,40.8,56.1,38.0,70.2,66.9,59.8,26.2,9.5,18.0,2.2,76.8
RAGBench,3,cosine,Naive,43.1,34.5,29.1,54.2,62.8,40.3,15.6,6.4,22.3,6.8,59.8
RAGBench,3,cosine,HyDE,40.2,32.1,26.9,48.5,56.5,37.2,15.5,7.2,23.7,6.8,57.6
RAGBench,3,cosine,HyPE,46.3,40.3,33.5,58.0,63.0,46.0,16.6,7.2,20.4,7.0,64.9
Rag10k,3,cosine,Naive,41.5,40.9,34.0,44.2,36.5,44.4,11.6,7.1,27.9,9.6,51.3
Rag10k,3,cosine,HyDE,41.3,40.4,33.6,42.8,36.6,43.6,11.3,7.2,28.7,9.9,50.6
Rag10k,3,cosine,HyPE,59.7,66.1,56.4,76.2,73.0,71.5,17.6,2.9,14.5,3.9,77.0
Rag10k,5,euclidean,Naive,32.2,27.5,23.4,49.0,31.0,31.2,8.1,3.4,20.0,5.9,38.1
Rag10k,5,euclidean,HyDE,32.0,23.9,21.0,44.4,29.1,27.4,7.0,3.1,21.2,6.4,37.1
Rag10k,5,euclidean,HyPE,48.7,52.5,42.7,78.5,65.1,56.2,19.2,3.6,19.7,3.7,69.0
Rag10k,5,cosine,Naive,32.2,27.6,23.1,49.0,31.3,31.2,7.9,3.3,19.9,6.0,37.7
Rag10k,5,cosine,HyDE,25.8,26.2,18.5,47.9,32.0,29.8,8.2,3.1,18.3,4.6,32.9
Rag10k,5,cosine,HyPE,47.7,52.7,42.2,80.1,66.9,56.5,18.8,3.6,19.0,3.6,67.2
Kaggle80,5,cosine,Naive,23.7,16.6,13.8,26.8,25.2,22.0,5.1,13.2,37.5,7.8,34.8
Kaggle80,5,cosine,HyDE,27.3,21.7,16.7,28.6,24.5,17.9,9.1,8.4,31.4,8.9,37.2
Kaggle80,5,cosine,HyPE,44.1,49.2,38.9,69.0,64.5,58.3,19.6,9.8,24.8,3.6,70.4
Kaggle80,5,euclidean,Naive,32.0,21.8,18.1,29.0,26.5,26.0,8.0,10.7,33.6,10.5,43.4
Kaggle80,5,euclidean,HyDE,24.2,22.9,16.3,24.0,26.5,24.9,7.8,10.9,36.0,8.8,35.3
Kaggle80,5,euclidean,HyPE,34.1,46.7,30.8,65.0,62.2,50.6,22.8,7.3,28.2,2.9,62.7
MS_MARCO,5,euclidean,Naive,39.5,50.6,36.5,80.7,67.5,53.6,26.3,6.0,9.0,0.8,72.9
MS_MARCO,5,euclidean,HyDE,38.3,48.0,34.9,77.0,65.6,50.9,24.9,6.3,8.9,0.8,70.5
MS_MARCO,5,euclidean,HyPE,38.6,47.9,35.0,77.2,65.5,51.3,25.1,6.3,9.1,0.9,71.0
MS_MARCO,5,cosine,Naive,39.8,50.2,36.5,80.6,67.6,53.3,26.0,6.2,9.0,0.8,73.1
MS_MARCO,5,cosine,HyDE,38.2,48.0,34.8,76.8,65.5,51.0,25.0,6.3,8.9,0.9,70.5
MS_MARCO,5,cosine,HyPE,38.5,48.0,35.0,77.3,65.6,51.3,25.1,6.2,9.0,0.9,70.8
RAGBench,5,euclidean,Naive,43.0,35.1,29.4,60.4,59.6,40.2,17.7,6.4,19.6,5.3,63.7
RAGBench,5,euclidean,HyDE,40.5,33.0,27.5,55.3,54.1,37.8,18.0,7.4,20.9,5.5,62.0
RAGBench,5,euclidean,HyPE,46.3,40.8,33.6,65.8,61.0,46.1,19.6,7.0,17.1,5.1,69.8
RAGBench,5,cosine,Naive,42.9,35.1,29.4,60.7,60.0,40.3,18.0,6.4,19.6,5.2,63.8
RAGBench,5,cosine,HyDE,40.6,32.9,27.7,55.3,54.3,37.7,17.9,7.4,21.1,5.4,62.2
RAGBench,5,cosine,HyPE,46.3,40.7,33.4,65.4,60.4,46.0,19.7,6.9,17.2,5.2,69.7
Kaggle80,10,cosine,Naive,26.3,24.4,15.6,36.8,21.2,27.2,9.0,12.1,42.0,10.7,38.5
Kaggle80,10,cosine,HyDE,29.1,25.0,18.2,36.4,19.6,23.6,8.4,10.2,45.9,9.0,38.9
Kaggle80,10,cosine,HyPE,35.6,42.0,31.2,81.4,63.0,44.5,28.0,13.3,20.7,2.6,74.3
MS_MARCO,10,cosine,Naive,38.6,59.8,38.0,85.7,61.5,61.6,35.9,8.6,10.8,0.7,85.9
MS_MARCO,10,cosine,HyDE,38.3,58.0,37.3,82.8,60.7,59.8,35.0,9.4,11.2,0.7,85.4
MS_MARCO,10,cosine,HyPE,38.4,58.6,37.5,84.0,62.5,60.6,35.8,8.8,10.8,0.7,85.6
Rag10k,10,cosine,Naive,34.9,34.3,26.1,56.1,26.4,38.3,12.7,9.7,37.1,8.8,49.2
Rag10k,10,cosine,HyDE,35.8,35.5,27.3,55.6,27.4,40.0,13.0,10.2,35.7,8.7,50.9
Rag10k,10,cosine,HyPE,41.3,44.1,34.9,84.6,56.1,46.6,24.0,6.0,23.2,2.8,69.3
RAGBench,10,cosine,Naive,42.8,35.5,29.7,68.8,55.1,39.7,21.6,6.6,16.9,3.7,69.2
RAGBench,10,cosine,HyDE,40.3,33.5,27.8,63.8,49.9,37.7,21.6,7.5,18.3,4.0,67.3
RAGBench,10,cosine,HyPE,45.0,40.3,32.9,74.6,57.1,44.6,24.6,7.0,14.4,3.3,75.4
WikiQA,1,cosine,Naive,43.8,44.6,37.3,32.5,51.7,35.5,10.5,3.6,30.3,20.6,37.4
WikiQA,1,cosine,HyDE,47.5,47.6,39.6,31.7,53.0,38.5,9.1,2.4,32.2,23.9,35.7
WikiQA,1,cosine,HyPE,54.5,59.6,49.0,61.1,86.6,63.6,16.9,2.3,23.5,11.8,62.0
MultiHopRAG,1,cosine,Naive,27.3,39.5,22.1,21.9,36.2,25.5,4.8,6.6,51.6,12.1,28.8
MultiHopRAG,1,cosine,HyDE,26.3,38.4,20.9,21.9,35.6,25.1,4.5,6.0,54.3,12.1,26.3
MultiHopRAG,1,cosine,HyPE,28.7,42.9,24.1,25.4,41.6,30.0,6.6,7.9,48.1,10.6,35.0
MultiHopRAG,3,cosine,Naive,28.1,43.7,23.7,35.3,32.7,33.7,8.2,9.6,44.0,7.3,42.0
MultiHopRAG,3,cosine,HyDE,28.3,42.7,24.0,34.4,31.9,33.8,7.4,9.6,45.2,7.4,41.8
MultiHopRAG,3,cosine,HyPE,29.6,46.6,25.4,43.2,42.2,40.0,12.7,11.6,36.2,5.8,52.4
MultiHopRAG,5,cosine,Naive,28.3,44.9,24.1,40.4,30.2,36.6,9.1,11.1,40.1,5.4,47.3
MultiHopRAG,5,cosine,HyDE,28.4,44.6,23.8,39.6,29.9,35.5,9.2,11.3,41.3,5.8,47.2
MultiHopRAG,5,cosine,HyPE,29.3,50.1,27.0,51.3,40.4,44.1,15.5,13.7,33.0,3.9,59.7
MultiHopRAG,5,euclidean,Naive,28.2,43.7,23.8,39.5,30.4,36.0,9.3,10.6,41.0,5.0,48.0
MultiHopRAG,5,euclidean,HyDE,28.4,45.4,24.2,40.1,30.8,36.6,9.0,10.9,40.8,5.2,47.4
MultiHopRAG,5,euclidean,HyPE,29.1,49.7,26.3,49.9,39.8,44.4,15.6,13.4,33.1,3.4,60.2
MultiHopRAG,10,cosine,Naive,27.2,47.0,23.9,46.2,25.8,39.8,11.5,13.4,36.9,4.2,53.1
MultiHopRAG,10,cosine,HyDE,26.8,46.9,23.3,47.6,26.8,38.9,10.8,12.2,35.7,4.3,50.7
MultiHopRAG,10,cosine,HyPE,28.3,48.4,25.1,59.2,37.5,46.1,19.9,14.4,25.5,2.2,68.1
WikiQA,3,cosine,Naive,47.1,55.7,41.7,57.1,47.4,56.4,13.0,6.1,23.3,11.8,54.6
WikiQA,3,cosine,HyDE,50.1,53.3,42.1,56.7,48.7,57.8,14.0,5.0,24.7,10.3,59.0
WikiQA,3,cosine,HyPE,50.3,62.1,48.5,77.9,84.2,69.0,23.6,2.6,21.5,4.7,72.5
WikiQA,5,cosine,Naive,44.4,52.8,40.5,64.1,39.5,56.4,16.4,5.0,29.7,11.0,56.3
WikiQA,5,cosine,HyDE,42.7,57.7,41.5,67.5,43.5,62.2,15.7,6.4,29.9,6.7,58.2
WikiQA,5,cosine,HyPE,49.7,61.5,49.2,86.2,83.4,64.7,27.3,2.9,16.2,2.7,78.1
WikiQA,5,euclidean,Naive,42.0,55.9,39.8,66.0,40.8,59.2,16.3,5.0,32.1,9.8,53.8
WikiQA,5,euclidean,HyDE,44.6,57.8,43.1,67.8,44.2,58.6,17.1,5.5,29.8,10.2,57.0
WikiQA,5,euclidean,HyPE,47.6,60.2,46.3,85.1,86.0,66.1,29.7,2.1,18.0,3.3,76.5
WikiQA,10,cosine,Naive,40.9,53.5,39.1,79.1,33.4,59.6,20.0,7.0,29.5,6.0,61.9
WikiQA,10,cosine,HyDE,39.6,55.1,37.4,78.9,38.2,58.9,20.5,6.1,27.2,5.7,60.6
WikiQA,10,cosine,HyPE,47.0,59.7,45.2,90.4,81.9,63.1,34.3,2.7,12.5,1.9,82.6
